city_id,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature (F),Wind Speed,Date,City
84,90,US,86,42.097,-79.2353,33.01,11.5,1619032768,jamestown
85,100,CA,71,45.5834,-62.6486,53.01,16.11,1619032851,new glasgow
86,40,TO,94,-21.2,-175.2,73.4,3.44,1619032852,vaini
87,100,RU,89,71.9667,102.5,8.65,14.14,1619032852,khatanga
88,0,CL,66,-53.15,-70.9167,46.4,9.22,1619032853,punta arenas
89,40,BR,83,-22.9661,-42.0278,73.4,9.22,1619032853,arraial do cabo
90,100,AU,90,-38.2667,141.9667,50.9,11.16,1619032647,codrington
91,99,NU,94,-19.0595,-169.9187,78.8,5.75,1619032854,alofi
92,100,BR,67,-30.1811,-50.2056,70.93,17.65,1619032854,cidreira
93,100,PH,75,11.1373,123.7228,82.11,11.43,1619032854,sulangan
94,9,PE,75,-11.0964,-77.6139,72.57,10.74,1619032855,hualmay
95,20,VU,100,-13.8833,167.55,77.0,12.08,1619032855,sola
96,40,BR,68,-23.3156,-46.2214,73.4,6.91,1619032856,santa isabel
97,40,US,78,22.0752,-159.319,78.01,5.75,1619032645,kapaa
98,100,BR,76,-2.8856,-40.12,81.43,7.54,1619032856,acarau
99,0,RU,49,69.4154,30.8136,42.8,5.75,1619032857,zapolyarnyy
100,90,US,71,39.9523,-75.1638,52.0,17.27,1619032598,filadelfia
101,40,CL,35,-33.7333,-70.75,73.4,8.05,1619032857,buin
102,99,NZ,97,-45.8742,170.5036,51.01,3.6,1619032858,dunedin
103,0,ZM,48,-14.97,22.6814,67.37,5.93,1619032858,kalabo
104,54,MZ,99,-16.8392,36.9856,69.12,4.43,1619032859,mocuba
105,40,MX,79,15.85,-97.0667,87.8,10.36,1619032859,puerto escondido
106,90,CA,79,69.4541,-133.0374,12.2,27.63,1619032859,tuktoyaktuk
107,37,BD,89,20.8624,92.3058,77.52,2.55,1619032860,teknaf
108,75,CA,59,65.282,-126.8329,26.6,16.11,1619032860,norman wells
109,99,CN,15,42.8,93.45,68.81,6.06,1619032861,hami
110,73,NZ,93,-45.4167,167.7167,47.46,0.76,1619032666,te anau
111,0,AU,53,-23.7,133.8833,50.0,5.75,1619032861,alice springs
112,6,JP,49,33.7333,135.9833,53.83,7.43,1619032862,shingu
113,97,ID,96,-2.9701,119.8978,65.53,2.55,1619032862,rantepao
114,100,IN,83,25.5198,90.2201,71.4,9.28,1619032863,tura
115,100,RU,79,57.8,158.6667,30.4,11.81,1619032863,tigil
116,100,BR,56,-7.5989,-40.8178,83.3,3.69,1619032863,simoes
117,0,AZ,59,40.8192,49.4687,62.6,20.71,1619032864,suraabad
118,15,CI,58,7.0626,-4.4995,85.1,1.95,1619032864,bocanda
119,100,BY,93,52.6333,29.7333,44.94,6.24,1619032865,svetlogorsk
120,94,CO,45,11.7751,-72.4445,89.62,17.78,1619032865,manaure
121,100,PH,82,10.9995,122.6711,77.9,7.76,1619032866,dingle
122,86,RU,86,53.6679,87.4362,22.03,0.6,1619032866,tayzhina
123,40,ID,83,-8.19,114.9675,77.0,3.44,1619032866,banjar
124,100,RU,78,65.441,52.1498,42.96,9.19,1619032867,ust-tsilma
125,91,RU,93,60.4667,166.1,15.15,7.25,1619032867,tilichiki
126,95,BR,66,-24.7911,-50.0119,65.52,7.54,1619032868,castro
127,100,GL,73,77.484,-69.3632,14.14,8.55,1619032634,qaanaaq
128,75,PT,94,37.7333,-25.6667,62.6,14.97,1619032868,ponta delgada
129,40,MY,89,5.4112,100.3354,82.0,2.3,1619032626,georgetown
130,75,RE,83,-21.3585,55.7679,77.0,12.66,1619032869,saint-philippe
131,75,US,39,38.8403,-97.6114,48.0,10.36,1619032869,salina
132,62,BR,74,-3.41,-39.0306,82.0,8.99,1619032870,paracuru
133,4,MG,80,-25.1667,45.05,70.07,16.46,1619032870,beloha
134,100,RU,71,43.919,46.7102,53.56,7.74,1619032871,pervomayskoye
135,68,RU,98,58.1831,94.7592,12.99,2.53,1619032871,motygino
136,90,US,87,57.79,-152.4072,41.0,20.71,1619032871,kodiak
137,73,NC,70,-22.6667,167.4833,74.66,7.92,1619032872,vao
138,75,US,87,40.5982,-124.1573,55.0,12.66,1619032872,fortuna
139,0,QA,74,25.2867,51.5333,82.0,5.75,1619032873,doha
140,7,SD,20,16.1525,36.2032,94.69,12.39,1619032873,wagar
141,75,BO,78,-17.8,-63.1667,80.6,11.5,1619032666,santa cruz
142,90,US,70,42.1428,-77.0547,37.4,10.36,1619032874,corning
143,100,AU,100,-12.2333,136.7667,75.2,4.61,1619032874,nhulunbuy
144,0,KZ,70,41.2547,67.9692,43.88,12.64,1619032874,chardara
145,12,MX,53,27.9769,-114.0611,66.4,12.08,1619032875,guerrero negro
146,99,NA,81,-22.116,14.2845,66.99,1.99,1619032875,henties bay
147,20,TH,94,7.9178,98.3332,86.0,11.07,1619032875,kathu
148,100,RU,94,73.5069,80.5464,29.19,15.14,1619032634,dikson
149,0,PK,57,33.4244,70.7364,65.05,2.1,1619032876,doaba
150,83,PK,17,28.4914,66.2585,64.81,4.63,1619032876,surab
151,75,PT,94,38.5167,-28.7,64.4,26.46,1619032877,ribeira grande
152,65,TL,95,-8.9266,125.4092,57.69,2.21,1619032877,airai
153,90,GB,70,60.3964,-1.353,44.6,16.11,1619032878,brae
154,67,RU,98,58.4497,92.1703,15.94,2.13,1619032878,yeniseysk
155,97,ZA,95,-34.0033,24.7314,63.0,1.99,1619032878,kruisfontein
156,99,MY,98,2.0167,112.9333,72.68,0.63,1619032879,kapit
157,60,YE,48,13.8141,44.6301,74.35,3.04,1619032879,bajah
158,63,RU,94,62.0961,77.475,11.84,2.91,1619032880,raduzhnyy
159,99,ID,85,-0.8833,131.25,78.76,2.28,1619032880,sorong
160,77,ID,89,-9.1061,124.8925,70.56,4.72,1619032881,atambua
161,100,RU,37,50.3691,119.1012,54.36,11.3,1619032881,priargunsk
162,100,CN,96,31.1783,115.0319,59.83,6.35,1619032881,macheng
163,100,AU,55,-28.7667,114.6,64.4,5.75,1619032882,geraldton
164,20,PF,74,-16.4833,-151.75,81.46,13.51,1619032663,faanui
165,1,BR,44,-14.4547,-56.8028,89.71,3.36,1619032882,nortelandia
166,75,BR,64,-32.035,-52.0986,73.4,17.27,1619032883,rio grande
167,100,AR,63,-34.6515,-59.4307,79.0,4.0,1619032883,mercedes
168,15,AU,88,-24.8667,113.6333,64.4,6.91,1619032628,carnarvon
169,90,TZ,81,-4.9667,39.8333,80.24,13.13,1619032884,micheweni
170,96,US,86,43.1548,-77.6156,35.01,5.01,1619032800,rochester
171,100,PG,80,-2.0226,147.2712,81.54,6.31,1619032884,lorengau
172,100,PH,85,8.1064,122.6208,77.18,5.01,1619032885,patawag
173,57,AO,82,-15.1961,12.1522,80.73,10.71,1619032885,namibe
174,7,SD,8,14.2,24.6667,83.19,8.55,1619032885,kutum
175,100,KZ,68,44.5086,50.263,59.2,7.34,1619032886,fort-shevchenko
176,40,CA,76,44.6453,-63.5724,60.01,13.8,1619032802,halifax
177,100,AR,78,-43.3002,-65.1023,65.32,16.51,1619032716,rawson
178,20,BR,41,-22.7311,-48.5706,80.6,6.91,1619032887,sao manuel
179,100,PG,94,-6.3164,155.4848,67.95,1.3,1619032887,panguna
180,0,MX,31,17.9583,-102.2,86.38,11.3,1619032887,lazaro cardenas
181,62,CN,94,23.2281,110.8261,73.0,0.76,1619032861,jinji
182,6,PY,25,-25.1833,-56.4,89.2,5.84,1619032888,carayao
183,92,BD,94,23.03,91.5069,76.62,5.61,1619032888,chhagalnaiya
